date,game_mode,region,map,tier,hero_name,role,pick_rate(%),win_rate(%)
2026-01-24,quickplay,Asia,nepal,All,에코,DAMAGE,5.7,50.2
2026-01-24,quickplay,Asia,nepal,All,오리사,TANK,12.2,48.0
2026-01-24,quickplay,Asia,nepal,All,우양,SUPPORT,18.6,53.8
2026-01-24,quickplay,Asia,nepal,All,위도우메이커,DAMAGE,1.9,39.1
2026-01-24,quickplay,Asia,nepal,All,윈스턴,TANK,4.6,49.1
2026-01-24,quickplay,Asia,nepal,All,일리아리,SUPPORT,12.4,55.0
2026-01-24,quickplay,Asia,nepal,All,자리야,TANK,10.4,51.0
2026-01-24,quickplay,Asia,nepal,All,정커퀸,TANK,5.3,54.6
2026-01-24,quickplay,Asia,nepal,All,정크랫,DAMAGE,11.1,52.3
2026-01-24,quickplay,Asia,nepal,All,젠야타,SUPPORT,13.9,53.5
2026-01-24,quickplay,Asia,nepal,All,주노,SUPPORT,13.8,49.7
2026-01-24,quickplay,Asia,nepal,All,캐서디,DAMAGE,24.3,46.5
2026-01-24,quickplay,Asia,nepal,All,키리코,SUPPORT,31.2,47.6
2026-01-24,quickplay,Asia,nepal,All,토르비욘,DAMAGE,3.6,54.5
2026-01-24,quickplay,Asia,nepal,All,트레이서,DAMAGE,6.9,46.3
2026-01-24,quickplay,Asia,nepal,All,파라,DAMAGE,7.0,51.9
2026-01-24,quickplay,Asia,nepal,All,프레야,DAMAGE,6.5,45.1
2026-01-24,quickplay,Asia,nepal,All,한조,DAMAGE,7.8,48.6
2026-01-24,quickplay,Asia,nepal,All,해저드,TANK,2.9,51.2
2026-01-24,quickplay,Asia,throne-of-anubis,All,D.Va,TANK,6.6,47.0
2026-01-24,quickplay,Asia,throne-of-anubis,All,겐지,DAMAGE,16.3,50.7
2026-01-24,quickplay,Asia,throne-of-anubis,All,둠피스트,TANK,17.9,52.7
2026-01-24,quickplay,Asia,throne-of-anubis,All,라마트라,TANK,6.5,48.2
2026-01-24,quickplay,Asia,throne-of-anubis,All,라이프위버,SUPPORT,6.7,46.1
2026-01-24,quickplay,Asia,throne-of-anubis,All,라인하르트,TANK,11.3,51.2
2026-01-24,quickplay,Asia,throne-of-anubis,All,레킹볼,TANK,3.9,54.5
2026-01-24,quickplay,Asia,throne-of-anubis,All,로드호그,TANK,5.4,42.6
2026-01-24,quickplay,Asia,throne-of-anubis,All,루시우,SUPPORT,9.2,52.5
2026-01-24,quickplay,Asia,throne-of-anubis,All,리퍼,DAMAGE,12.4,54.3
2026-01-24,quickplay,Asia,throne-of-anubis,All,마우가,TANK,4.5,50.0
2026-01-24,quickplay,Asia,throne-of-anubis,All,메르시,SUPPORT,11.1,46.5
2026-01-24,quickplay,Asia,throne-of-anubis,All,메이,DAMAGE,7.3,53.5
2026-01-24,quickplay,Asia,throne-of-anubis,All,모이라,SUPPORT,18.8,50.0
2026-01-24,quickplay,Asia,throne-of-anubis,All,바스티온,DAMAGE,12.5,49.3
2026-01-24,quickplay,Asia,throne-of-anubis,All,바티스트,SUPPORT,8.4,47.1
2026-01-24,quickplay,Asia,throne-of-anubis,All,벤데타,DAMAGE,16.8,53.1
2026-01-24,quickplay,Asia,throne-of-anubis,All,벤처,DAMAGE,6.0,54.6
2026-01-24,quickplay,Asia,throne-of-anubis,All,브리기테,SUPPORT,8.1,53.0
2026-01-24,quickplay,Asia,throne-of-anubis,All,소전,DAMAGE,14.0,45.4
2026-01-24,quickplay,Asia,throne-of-anubis,All,솔저: 76,DAMAGE,15.8,48.2
2026-01-24,quickplay,Asia,throne-of-anubis,All,솜브라,DAMAGE,7.8,47.1
2026-01-24,quickplay,Asia,throne-of-anubis,All,시그마,TANK,7.9,50.0
2026-01-24,quickplay,Asia,throne-of-anubis,All,시메트라,DAMAGE,4.7,58.6
2026-01-24,quickplay,Asia,throne-of-anubis,All,아나,SUPPORT,46.1,48.3
2026-01-24,quickplay,Asia,throne-of-anubis,All,애쉬,DAMAGE,10.2,49.1
2026-01-24,quickplay,Asia,throne-of-anubis,All,에코,DAMAGE,5.1,51.6
2026-01-24,quickplay,Asia,throne-of-anubis,All,오리사,TANK,11.0,46.5
2026-01-24,quickplay,Asia,throne-of-anubis,All,우양,SUPPORT,19.5,52.7
2026-01-24,quickplay,Asia,throne-of-anubis,All,위도우메이커,DAMAGE,1.7,40.4
2026-01-24,quickplay,Asia,throne-of-anubis,All,윈스턴,TANK,3.7,49.9
2026-01-24,quickplay,Asia,throne-of-anubis,All,일리아리,SUPPORT,12.4,55.7
2026-01-24,quickplay,Asia,throne-of-anubis,All,자리야,TANK,10.3,49.9
2026-01-24,quickplay,Asia,throne-of-anubis,All,정커퀸,TANK,7.4,56.3
2026-01-24,quickplay,Asia,throne-of-anubis,All,정크랫,DAMAGE,12.3,52.7
2026-01-24,quickplay,Asia,throne-of-anubis,All,젠야타,SUPPORT,13.5,54.2
2026-01-24,quickplay,Asia,throne-of-anubis,All,주노,SUPPORT,15.6,50.3
2026-01-24,quickplay,Asia,throne-of-anubis,All,캐서디,DAMAGE,26.2,47.4
2026-01-24,quickplay,Asia,throne-of-anubis,All,키리코,SUPPORT,30.6,46.2
2026-01-24,quickplay,Asia,throne-of-anubis,All,토르비욘,DAMAGE,3.8,55.7
2026-01-24,quickplay,Asia,throne-of-anubis,All,트레이서,DAMAGE,7.2,47.4
2026-01-24,quickplay,Asia,throne-of-anubis,All,파라,DAMAGE,5.8,50.0
2026-01-24,quickplay,Asia,throne-of-anubis,All,프레야,DAMAGE,6.1,43.5
2026-01-24,quickplay,Asia,throne-of-anubis,All,한조,DAMAGE,7.9,48.3
2026-01-24,quickplay,Asia,throne-of-anubis,All,해저드,TANK,3.5,48.5
2026-01-24,quickplay,Asia,oasis,All,D.Va,TANK,8.0,48.0
2026-01-24,quickplay,Asia,oasis,All,겐지,DAMAGE,15.7,50.8
2026-01-24,quickplay,Asia,oasis,All,둠피스트,TANK,16.6,49.6
2026-01-24,quickplay,Asia,oasis,All,라마트라,TANK,6.2,50.4
2026-01-24,quickplay,Asia,oasis,All,라이프위버,SUPPORT,7.1,45.9
2026-01-24,quickplay,Asia,oasis,All,라인하르트,TANK,9.1,52.2
2026-01-24,quickplay,Asia,oasis,All,레킹볼,TANK,4.4,47.4
2026-01-24,quickplay,Asia,oasis,All,로드호그,TANK,5.8,45.7
2026-01-24,quickplay,Asia,oasis,All,루시우,SUPPORT,8.7,51.7
2026-01-24,quickplay,Asia,oasis,All,리퍼,DAMAGE,10.8,53.7
2026-01-24,quickplay,Asia,oasis,All,마우가,TANK,4.2,49.6
2026-01-24,quickplay,Asia,oasis,All,메르시,SUPPORT,11.9,47.9
2026-01-24,quickplay,Asia,oasis,All,메이,DAMAGE,6.7,52.2
2026-01-24,quickplay,Asia,oasis,All,모이라,SUPPORT,17.4,50.8
2026-01-24,quickplay,Asia,oasis,All,바스티온,DAMAGE,12.9,50.6
2026-01-24,quickplay,Asia,oasis,All,바티스트,SUPPORT,8.8,48.6
2026-01-24,quickplay,Asia,oasis,All,벤데타,DAMAGE,14.0,53.3
2026-01-24,quickplay,Asia,oasis,All,벤처,DAMAGE,4.9,52.3
2026-01-24,quickplay,Asia,oasis,All,브리기테,SUPPORT,7.2,50.5
2026-01-24,quickplay,Asia,oasis,All,소전,DAMAGE,14.7,46.6
2026-01-24,quickplay,Asia,oasis,All,솔저: 76,DAMAGE,17.9,49.9
2026-01-24,quickplay,Asia,oasis,All,솜브라,DAMAGE,9.7,48.6
2026-01-24,quickplay,Asia,oasis,All,시그마,TANK,8.7,53.5
2026-01-24,quickplay,Asia,oasis,All,시메트라,DAMAGE,4.7,55.7
2026-01-24,quickplay,Asia,oasis,All,아나,SUPPORT,47.7,48.0
2026-01-24,quickplay,Asia,oasis,All,애쉬,DAMAGE,10.9,48.3
2026-01-24,quickplay,Asia,oasis,All,에코,DAMAGE,6.0,50.0
2026-01-24,quickplay,Asia,oasis,All,오리사,TANK,11.8,47.6
2026-01-24,quickplay,Asia,oasis,All,우양,SUPPORT,18.6,53.1
2026-01-24,quickplay,Asia,oasis,All,위도우메이커,DAMAGE,1.6,38.8
2026-01-24,quickplay,Asia,oasis,All,윈스턴,TANK,5.9,49.8
2026-01-24,quickplay,Asia,oasis,All,일리아리,SUPPORT,12.3,56.4
2026-01-24,quickplay,Asia,oasis,All,자리야,TANK,10.5,50.6
2026-01-24,quickplay,Asia,oasis,All,정커퀸,TANK,5.7,55.7
2026-01-24,quickplay,Asia,oasis,All,정크랫,DAMAGE,8.2,49.9
2026-01-24,quickplay,Asia,oasis,All,젠야타,SUPPORT,13.3,53.0
2026-01-24,quickplay,Asia,oasis,All,주노,SUPPORT,14.3,49.8
2026-01-24,quickplay,Asia,oasis,All,캐서디,DAMAGE,28.8,48.3
2026-01-24,quickplay,Asia,oasis,All,키리코,SUPPORT,32.8,47.0
2026-01-24,quickplay,Asia,oasis,All,토르비욘,DAMAGE,3.5,54.5
2026-01-24,quickplay,Asia,oasis,All,트레이서,DAMAGE,8.8,47.6
2026-01-24,quickplay,Asia,oasis,All,파라,DAMAGE,6.6,52.7
2026-01-24,quickplay,Asia,oasis,All,프레야,DAMAGE,6.4,46.0
2026-01-24,quickplay,Asia,oasis,All,한조,DAMAGE,7.3,48.6
2026-01-24,quickplay,Asia,oasis,All,해저드,TANK,3.2,49.6
2026-01-24,quickplay,Asia,samoa,All,D.Va,TANK,6.8,46.7
2026-01-24,quickplay,Asia,samoa,All,겐지,DAMAGE,14.6,49.9
2026-01-24,quickplay,Asia,samoa,All,둠피스트,TANK,15.0,49.6
2026-01-24,quickplay,Asia,samoa,All,라마트라,TANK,6.8,49.8
2026-01-24,quickplay,Asia,samoa,All,라이프위버,SUPPORT,6.9,45.9
2026-01-24,quickplay,Asia,samoa,All,라인하르트,TANK,9.5,52.7
2026-01-24,quickplay,Asia,samoa,All,레킹볼,TANK,3.8,44.4
2026-01-24,quickplay,Asia,samoa,All,로드호그,TANK,5.2,43.5
2026-01-24,quickplay,Asia,samoa,All,루시우,SUPPORT,7.7,50.8
2026-01-24,quickplay,Asia,samoa,All,리퍼,DAMAGE,10.9,53.9
2026-01-24,quickplay,Asia,samoa,All,마우가,TANK,5.9,51.8
2026-01-24,quickplay,Asia,samoa,All,메르시,SUPPORT,10.3,47.3
2026-01-24,quickplay,Asia,samoa,All,메이,DAMAGE,6.8,52.6
2026-01-24,quickplay,Asia,samoa,All,모이라,SUPPORT,17.9,50.3
2026-01-24,quickplay,Asia,samoa,All,바스티온,DAMAGE,13.9,50.9
2026-01-24,quickplay,Asia,samoa,All,바티스트,SUPPORT,9.1,48.4
2026-01-24,quickplay,Asia,samoa,All,벤데타,DAMAGE,13.7,54.6
2026-01-24,quickplay,Asia,samoa,All,벤처,DAMAGE,4.9,52.8
2026-01-24,quickplay,Asia,samoa,All,브리기테,SUPPORT,7.1,50.4
2026-01-24,quickplay,Asia,samoa,All,소전,DAMAGE,16.6,46.5
2026-01-24,quickplay,Asia,samoa,All,솔저: 76,DAMAGE,16.9,49.6
2026-01-24,quickplay,Asia,samoa,All,솜브라,DAMAGE,9.2,49.9
2026-01-24,quickplay,Asia,samoa,All,시그마,TANK,9.7,54.4
2026-01-24,quickplay,Asia,samoa,All,시메트라,DAMAGE,4.8,58.0
2026-01-24,quickplay,Asia,samoa,All,아나,SUPPORT,49.4,47.9
2026-01-24,quickplay,Asia,samoa,All,애쉬,DAMAGE,13.1,49.8
2026-01-24,quickplay,Asia,samoa,All,에코,DAMAGE,5.5,50.2
2026-01-24,quickplay,Asia,samoa,All,오리사,TANK,12.6,46.1
2026-01-24,quickplay,Asia,samoa,All,우양,SUPPORT,18.9,52.8
2026-01-24,quickplay,Asia,samoa,All,위도우메이커,DAMAGE,2.0,38.4
2026-01-24,quickplay,Asia,samoa,All,윈스턴,TANK,4.8,48.2
2026-01-24,quickplay,Asia,samoa,All,일리아리,SUPPORT,13.0,57.2
2026-01-24,quickplay,Asia,samoa,All,자리야,TANK,10.6,52.3
2026-01-24,quickplay,Asia,samoa,All,정커퀸,TANK,6.4,56.6
2026-01-24,quickplay,Asia,samoa,All,정크랫,DAMAGE,8.0,49.9
2026-01-24,quickplay,Asia,samoa,All,젠야타,SUPPORT,13.9,53.5
2026-01-24,quickplay,Asia,samoa,All,주노,SUPPORT,14.8,50.9
2026-01-24,quickplay,Asia,samoa,All,캐서디,DAMAGE,25.9,47.6
2026-01-24,quickplay,Asia,samoa,All,키리코,SUPPORT,31.3,46.5
2026-01-24,quickplay,Asia,samoa,All,토르비욘,DAMAGE,4.9,54.2
2026-01-24,quickplay,Asia,samoa,All,트레이서,DAMAGE,9.3,47.9
2026-01-24,quickplay,Asia,samoa,All,파라,DAMAGE,5.3,50.5
2026-01-24,quickplay,Asia,samoa,All,프레야,DAMAGE,6.7,45.3
2026-01-24,quickplay,Asia,samoa,All,한조,DAMAGE,7.3,47.7
2026-01-24,quickplay,Asia,samoa,All,해저드,TANK,2.9,49.8
2026-01-24,quickplay,Asia,lijiang-tower,All,D.Va,TANK,6.8,45.7
2026-01-24,quickplay,Asia,lijiang-tower,All,겐지,DAMAGE,14.4,50.6
2026-01-24,quickplay,Asia,lijiang-tower,All,둠피스트,TANK,18.2,51.5
2026-01-24,quickplay,Asia,lijiang-tower,All,라마트라,TANK,5.9,50.0
2026-01-24,quickplay,Asia,lijiang-tower,All,라이프위버,SUPPORT,6.8,45.1
2026-01-24,quickplay,Asia,lijiang-tower,All,라인하르트,TANK,10.4,53.9
2026-01-24,quickplay,Asia,lijiang-tower,All,레킹볼,TANK,5.1,49.0
2026-01-24,quickplay,Asia,lijiang-tower,All,로드호그,TANK,6.6,44.4
2026-01-24,quickplay,Asia,lijiang-tower,All,루시우,SUPPORT,14.6,54.4
2026-01-24,quickplay,Asia,lijiang-tower,All,리퍼,DAMAGE,9.9,52.6
2026-01-24,quickplay,Asia,lijiang-tower,All,마우가,TANK,3.9,47.6
2026-01-24,quickplay,Asia,lijiang-tower,All,메르시,SUPPORT,11.7,47.4
2026-01-24,quickplay,Asia,lijiang-tower,All,메이,DAMAGE,6.5,51.8
2026-01-24,quickplay,Asia,lijiang-tower,All,모이라,SUPPORT,16.7,51.1
2026-01-24,quickplay,Asia,lijiang-tower,All,바스티온,DAMAGE,12.3,49.5
2026-01-24,quickplay,Asia,lijiang-tower,All,바티스트,SUPPORT,8.1,46.2
