date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-01-29,quickplay,Europe,hanaoka,All,브리기테,SUPPORT,8.4,54.7
2026-01-29,quickplay,Europe,hanaoka,All,소전,DAMAGE,11.2,45.4
2026-01-29,quickplay,Europe,hanaoka,All,솔저: 76,DAMAGE,16.5,49.6
2026-01-29,quickplay,Europe,hanaoka,All,솜브라,DAMAGE,7.4,48.7
2026-01-29,quickplay,Europe,hanaoka,All,시그마,TANK,7.9,50.8
2026-01-29,quickplay,Europe,hanaoka,All,시메트라,DAMAGE,3.7,56.3
2026-01-29,quickplay,Europe,hanaoka,All,아나,SUPPORT,28.1,48.1
2026-01-29,quickplay,Europe,hanaoka,All,애쉬,DAMAGE,15.1,51.5
2026-01-29,quickplay,Europe,hanaoka,All,에코,DAMAGE,6.4,47.8
2026-01-29,quickplay,Europe,hanaoka,All,오리사,TANK,10.0,45.5
2026-01-29,quickplay,Europe,hanaoka,All,우양,SUPPORT,11.3,51.4
2026-01-29,quickplay,Europe,hanaoka,All,위도우메이커,DAMAGE,5.6,41.8
2026-01-29,quickplay,Europe,hanaoka,All,윈스턴,TANK,3.1,51.0
2026-01-29,quickplay,Europe,hanaoka,All,일리아리,SUPPORT,9.7,55.4
2026-01-29,quickplay,Europe,hanaoka,All,자리야,TANK,5.9,50.4
2026-01-29,quickplay,Europe,hanaoka,All,정커퀸,TANK,7.4,55.3
2026-01-29,quickplay,Europe,hanaoka,All,정크랫,DAMAGE,13.2,51.0
2026-01-29,quickplay,Europe,hanaoka,All,젠야타,SUPPORT,13.8,55.0
2026-01-29,quickplay,Europe,hanaoka,All,주노,SUPPORT,19.5,50.4
2026-01-29,quickplay,Europe,hanaoka,All,캐서디,DAMAGE,20.9,49.5
2026-01-29,quickplay,Europe,hanaoka,All,키리코,SUPPORT,23.0,45.9
2026-01-29,quickplay,Europe,hanaoka,All,토르비욘,DAMAGE,4.7,57.6
2026-01-29,quickplay,Europe,hanaoka,All,트레이서,DAMAGE,5.2,47.5
2026-01-29,quickplay,Europe,hanaoka,All,파라,DAMAGE,4.4,48.2
2026-01-29,quickplay,Europe,hanaoka,All,프레야,DAMAGE,6.8,43.5
