date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-02-12,quickplay,Asia,route-66,All,안란,DAMAGE,0.5,51.7
2026-02-12,quickplay,Asia,route-66,All,애쉬,DAMAGE,23.3,52.6
2026-02-12,quickplay,Asia,route-66,All,에코,DAMAGE,6.1,51.9
2026-02-12,quickplay,Asia,route-66,All,엠레,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,route-66,All,오리사,TANK,10.9,45.1
2026-02-12,quickplay,Asia,route-66,All,우양,SUPPORT,16.1,53.0
2026-02-12,quickplay,Asia,route-66,All,위도우메이커,DAMAGE,7.2,45.8
2026-02-12,quickplay,Asia,route-66,All,윈스턴,TANK,8.8,51.9
2026-02-12,quickplay,Asia,route-66,All,일리아리,SUPPORT,16.2,56.9
2026-02-12,quickplay,Asia,route-66,All,자리야,TANK,7.8,48.0
2026-02-12,quickplay,Asia,route-66,All,정커퀸,TANK,3.2,51.3
2026-02-12,quickplay,Asia,route-66,All,정크랫,DAMAGE,8.9,52.0
2026-02-12,quickplay,Asia,route-66,All,제트팩 캣,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,route-66,All,젠야타,SUPPORT,14.3,55.2
2026-02-12,quickplay,Asia,route-66,All,주노,SUPPORT,14.5,49.0
2026-02-12,quickplay,Asia,route-66,All,캐서디,DAMAGE,19.9,45.6
2026-02-12,quickplay,Asia,route-66,All,키리코,SUPPORT,28.7,45.9
2026-02-12,quickplay,Asia,route-66,All,토르비욘,DAMAGE,4.9,55.4
2026-02-12,quickplay,Asia,route-66,All,트레이서,DAMAGE,4.7,46.5
2026-02-12,quickplay,Asia,route-66,All,파라,DAMAGE,5.7,50.7
2026-02-12,quickplay,Asia,route-66,All,프레야,DAMAGE,8.6,47.5
2026-02-12,quickplay,Asia,route-66,All,한조,DAMAGE,10.1,50.1
2026-02-12,quickplay,Asia,route-66,All,해저드,TANK,3.0,49.4
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,D.Va,TANK,17.4,49.9
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,겐지,DAMAGE,16.7,51.3
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,도미나,TANK,-1.0,-1.0
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,둠피스트,TANK,13.3,50.1
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,라마트라,TANK,4.6,48.7
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,라이프위버,SUPPORT,10.0,47.6
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,라인하르트,TANK,6.3,49.3
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,레킹볼,TANK,4.0,51.1
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,로드호그,TANK,4.7,41.9
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,루시우,SUPPORT,4.9,48.6
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,리퍼,DAMAGE,10.0,51.2
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,마우가,TANK,3.3,46.3
2026-02-12,quickplay,Asia,watchpoint-gibraltar,All,메르시,SUPPORT,16.3,46.8
